term,value
source_file,제인테크노스_MES (수정).xlsx
source_rows,11613
valid_field_packings,7805
excluded_rows,3808
zero_duration_rows_adjusted_to_one_day,199
field_assignments,1994
field_groups,1690
field_yards_used,80
field_project_codes,204
relocation_sum,4267
total_weighted_dist_sum,983425.4
total_project_dist_sum,285878.0
project_yard_num,1994
total_assigned_package_num,7805
type10_fifo_weight,200.0
type10_weighted_dist_weight,3.0
type10_project_dist_weight,10.0
type10_project_yard_weight,1.0
obj_value,6664450.2
