project_code,yard_name,packing_count,source
2411040,G04,3,jeil_actual
2411040,G06,4,jeil_actual
2411040,G05,2,jeil_actual
2411040,H15,22,jeil_actual
2411040,H03,1,jeil_actual
2411040,H14,3,jeil_actual
2502023,C01,89,jeil_actual
2502023,E01,23,jeil_actual
2502023,E02,27,jeil_actual
2502023,A04,13,jeil_actual
2408003,B07,16,jeil_actual
2408003,G10,7,jeil_actual
2408003,H15,11,jeil_actual
2505058,F01,30,jeil_actual
2505058,F04,7,jeil_actual
2506036,G07,8,jeil_actual
2512053,E03,1,jeil_actual
2601001,G06,6,jeil_actual
2308002,H15,1,jeil_actual
2308002,G09,1,jeil_actual
2408003,G09,13,jeil_actual
2502023,B04,44,jeil_actual
2502023,A08,40,jeil_actual
2502023,A01,63,jeil_actual
2502023,D03,10,jeil_actual
2502023,C04,90,jeil_actual
2502023,B05,43,jeil_actual
2504050,F04,7,jeil_actual
2504050,F02,1,jeil_actual
2504050,G08,1,jeil_actual
2504063,G03,5,jeil_actual
2504063,G10,1,jeil_actual
2505058,E01,8,jeil_actual
2507036,H16,4,jeil_actual
2507036,H15,18,jeil_actual
2507036,F05,11,jeil_actual
2508045,F09,7,jeil_actual
2510035,A01,15,jeil_actual
2512014,G10,1,jeil_actual
2512014,G06,2,jeil_actual
2512036,C03,22,jeil_actual
2601003,A02,11,jeil_actual
2601004,G04,1,jeil_actual
2601005,A03,8,jeil_actual
2601005,C02,20,jeil_actual
2601005,G06,8,jeil_actual
2601005,G05,1,jeil_actual
2601006,E06,10,jeil_actual
2601006,E01,1,jeil_actual
2412044,A05,9,jeil_actual
2412044,B09,2,jeil_actual
2501026,B08,17,jeil_actual
2501026,C05,1,jeil_actual
2502034,G06,2,jeil_actual
2502044,G05,8,jeil_actual
2505001,H03,9,jeil_actual
2505001,C05,10,jeil_actual
2505001,F09,1,jeil_actual
2505001,C04,12,jeil_actual
2506027,G06,11,jeil_actual
2506027,E02,5,jeil_actual
2506027,G09,2,jeil_actual
2506027,E05,1,jeil_actual
2507036,G04,4,jeil_actual
2508045,B02,13,jeil_actual
2510011,D05,15,jeil_actual
2510011,B08,17,jeil_actual
2510011,D04,4,jeil_actual
2512021,G09,6,jeil_actual
2512021,G08,3,jeil_actual
2512021,C06,7,jeil_actual
2512021,D05,24,jeil_actual
2512021,B06,18,jeil_actual
2512021,G01,3,jeil_actual
2512021,C05,7,jeil_actual
2512021,D07,9,jeil_actual
2601005,C01,18,jeil_actual
2601007,G07,3,jeil_actual
2601008,H12,22,jeil_actual
