mixing_weight,relocation_sum,total_weighted_dist_sum,total_project_dist_sum,project_yard_num,total_assigned_package_num,project_mixing_penalty,mixed_yards,mixed_yard_days,max_project_codes_in_same_yard_day,used_yards,objective_value,runtime_sec
0,63,668291.0,82348.0,1730,7805,793,67,3499,6,87,764969.0,5
5,35,662162.0,81850.0,1733,7805,804,73,3578,6,88,756765.0,5
50,63,670213.0,82703.0,1731,7805,599,75,3133,4,88,797197.0,5
100,105,671482.0,81978.0,1730,7805,422,69,2725,5,93,818390.0,5
200,55,700853.0,68549.0,1728,7805,265,69,1924,4,99,835130.0,5
500,42,726348.0,81181.0,1725,7805,97,49,867,3,108,866154.0,5
1000,113,762068.0,97389.0,1720,7805,59,36,677,3,109,942777.0,5
2000,140,795523.0,113106.0,1722,7805,30,24,455,3,109,998351.0,5
5000,182,819219.0,114204.0,1722,7805,24,19,358,2,110,1091545.0,5
10000,294,841076.0,117568.0,1720,7805,17,14,348,2,110,1189164.0,5
20000,294,841076.0,117568.0,1720,7805,17,14,348,2,110,1359164.0,5
50000,294,841076.0,117568.0,1720,7805,17,14,348,2,110,1869164.0,5
