yard_name,capacity,distance,x,y,yard_index,sector,slot_count,normal_level,max_level,allow_fourth_level,max_stack_height_mm,is_main_sector,allow_mixed_project,is_available_default
A01,21,43.8,39,0,0,A,7,3,3,1,4000,1,0,1
A02,21,51.8,39,4,1,A,7,3,3,1,4000,1,0,1
A03,21,59.8,39,8,2,A,7,3,3,1,4000,1,0,1
A04,21,67.8,39,12,3,A,7,3,3,1,4000,1,0,1
A05,21,75.8,39,16,4,A,7,3,3,1,4000,1,0,1
A06,21,79.2,39,20,5,A,7,3,3,1,4000,1,0,1
A07,21,79.2,39,24,6,A,7,3,3,1,4000,1,0,1
A08,21,79.2,39,28,7,A,7,3,3,1,4000,1,0,1
A09,21,79.2,39,32,8,A,7,3,3,1,4000,1,0,1
A10,21,79.2,39,36,9,A,7,3,3,1,4000,1,0,1
B01,21,99.2,39,50,10,B,7,3,3,1,4000,1,0,1
B02,21,107.2,39,54,11,B,7,3,3,1,4000,1,0,1
B03,21,115.2,39,58,12,B,7,3,3,1,4000,1,0,1
B04,21,123.2,39,62,13,B,7,3,3,1,4000,1,0,1
B05,21,131.2,39,66,14,B,7,3,3,1,4000,1,0,1
B06,21,139.2,39,70,15,B,7,3,3,1,4000,1,0,1
B07,21,147.2,39,74,16,B,7,3,3,1,4000,1,0,1
B08,21,155.2,39,78,17,B,7,3,3,1,4000,1,0,1
B09,21,163.2,39,82,18,B,7,3,3,1,4000,1,0,1
B10,21,171.2,39,86,19,B,7,3,3,1,4000,1,0,1
B11,21,179.2,39,90,20,B,7,3,3,1,4000,1,0,1
B12,21,187.2,39,94,21,B,7,3,3,1,4000,1,0,1
B13,21,195.2,39,98,22,B,7,3,3,1,4000,1,0,1
B14,21,203.2,39,102,23,B,7,3,3,1,4000,1,0,1
B15,21,211.2,39,106,24,B,7,3,3,1,4000,1,0,1
B16,21,219.2,39,110,25,B,7,3,3,1,4000,1,0,1
B17,21,227.2,39,114,26,B,7,3,3,1,4000,1,0,1
C01,21,43.8,30,0,27,C,7,3,3,1,4000,1,0,1
C02,21,51.8,30,4,28,C,7,3,3,1,4000,1,0,1
C03,21,59.8,30,8,29,C,7,3,3,1,4000,1,0,1
C04,21,67.8,30,12,30,C,7,3,3,1,4000,1,0,1
C05,21,75.8,30,16,31,C,7,3,3,1,4000,1,0,1
C06,21,78.4,30,20,32,C,7,3,3,1,4000,1,0,1
C07,21,78.4,30,24,33,C,7,3,3,1,4000,1,0,1
C08,21,78.4,30,28,34,C,7,3,3,1,4000,1,0,1
C09,21,78.4,30,32,35,C,7,3,3,1,4000,1,0,1
C10,21,78.4,30,36,36,C,7,3,3,1,4000,1,0,1
D01,21,98.4,30,50,37,D,7,3,3,1,4000,1,0,1
D02,21,106.4,30,54,38,D,7,3,3,1,4000,1,0,1
D03,21,114.4,30,58,39,D,7,3,3,1,4000,1,0,1
D04,21,122.4,30,62,40,D,7,3,3,1,4000,1,0,1
D05,21,130.4,30,66,41,D,7,3,3,1,4000,1,0,1
D06,21,138.4,30,70,42,D,7,3,3,1,4000,1,0,1
D07,21,146.4,30,74,43,D,7,3,3,1,4000,1,0,1
D08,21,154.4,30,78,44,D,7,3,3,1,4000,1,0,1
D09,21,162.4,30,82,45,D,7,3,3,1,4000,1,0,1
D10,21,170.4,30,86,46,D,7,3,3,1,4000,1,0,1
D11,21,178.4,30,90,47,D,7,3,3,1,4000,1,0,1
D12,21,186.4,30,94,48,D,7,3,3,1,4000,1,0,1
D13,21,194.4,30,98,49,D,7,3,3,1,4000,1,0,1
D14,21,202.4,30,102,50,D,7,3,3,1,4000,1,0,1
D15,21,210.4,30,106,51,D,7,3,3,1,4000,1,0,1
D16,21,218.4,30,110,52,D,7,3,3,1,4000,1,0,1
D17,21,226.4,30,114,53,D,7,3,3,1,4000,1,0,1
E01,9,43.8,0,0,54,E,3,3,4,1,4000,0,1,1
E02,9,51.8,0,4,55,E,3,3,4,1,4000,0,1,1
E03,21,59.8,0,8,56,E,7,3,4,1,4000,0,1,1
E04,21,67.8,0,12,57,E,7,3,4,1,4000,0,1,1
E05,21,75.8,0,16,58,E,7,3,4,1,4000,0,1,1
E06,21,78.4,0,20,59,E,7,3,4,1,4000,0,1,1
E07,21,78.4,0,24,60,E,7,3,4,1,4000,0,1,1
E08,21,78.4,0,28,61,E,7,3,4,1,4000,0,1,1
E09,21,78.4,0,32,62,E,7,3,4,1,4000,0,1,1
E10,21,78.4,0,36,63,E,7,3,4,1,4000,0,1,1
F01,21,98.4,0,50,64,F,7,3,4,1,4000,0,1,1
F02,21,106.4,0,54,65,F,7,3,4,1,4000,0,1,1
F03,21,114.4,0,58,66,F,7,3,4,1,4000,0,1,1
F04,21,122.4,0,62,67,F,7,3,4,1,4000,0,1,1
F05,21,130.4,0,66,68,F,7,3,4,1,4000,0,1,1
F06,21,138.4,0,70,69,F,7,3,4,1,4000,0,1,1
F07,21,146.4,0,74,70,F,7,3,4,1,4000,0,1,1
F08,21,154.4,0,78,71,F,7,3,4,1,4000,0,1,1
F09,21,162.4,0,82,72,F,7,3,4,1,4000,0,1,1
F10,21,170.4,0,86,73,F,7,3,4,1,4000,0,1,1
F11,21,178.4,0,90,74,F,7,3,4,1,4000,0,1,1
F12,21,186.4,0,94,75,F,7,3,4,1,4000,0,1,1
F13,21,194.4,0,98,76,F,7,3,4,1,4000,0,1,1
F14,21,202.4,0,102,77,F,7,3,4,1,4000,0,1,1
F15,21,210.4,0,106,78,F,7,3,4,1,4000,0,1,1
F16,21,218.4,0,110,79,F,7,3,4,1,4000,0,1,1
F17,21,226.4,0,114,80,F,7,3,4,1,4000,0,1,1
G01,6,87.8,61,0,81,G,2,3,4,1,4000,0,1,1
G02,12,95.8,61,4,82,G,4,3,4,1,4000,0,1,1
G03,12,103.8,61,8,83,G,4,3,4,1,4000,0,1,1
G04,12,111.8,61,12,84,G,4,3,4,1,4000,0,1,1
G05,12,119.8,61,16,85,G,4,3,4,1,4000,0,1,1
G06,12,123.2,61,20,86,G,4,3,4,1,4000,0,1,1
G07,12,123.2,61,24,87,G,4,3,4,1,4000,0,1,1
G08,12,123.2,61,28,88,G,4,3,4,1,4000,0,1,1
G09,12,123.2,61,32,89,G,4,3,4,1,4000,0,1,1
G10,12,123.2,61,36,90,G,4,3,4,1,4000,0,1,1
H01,9,205.2,75,67,91,H,3,3,4,1,4000,0,1,1
H02,9,213.2,79,67,92,H,3,3,4,1,4000,0,1,1
H03,21,221.2,83,67,93,H,7,3,4,1,4000,0,1,1
H04,21,229.2,87,67,94,H,7,3,4,1,4000,0,1,1
H05,21,237.2,91,67,95,H,7,3,4,1,4000,0,1,1
H06,21,245.2,95,67,96,H,7,3,4,1,4000,0,1,1
H07,21,253.2,99,67,97,H,7,3,4,1,4000,0,1,1
H08,21,221.2,75,75,98,H,7,3,4,1,4000,0,1,1
